00000000777000000.mp4,Segment1,Frame:30,Time:2.6s,TotalBoxes:2,S:0,M:0,L:0
00000000777000000.mp4,Segment1,Frame:60,Time:5.2s,TotalBoxes:4,S:0,M:2,L:0
00000000777000000.mp4,Segment1,Frame:90,Time:7.7s,TotalBoxes:4,S:0,M:2,L:0
00000000777000000.mp4,Segment1,Frame:120,Time:10.3s,TotalBoxes:4,S:0,M:2,L:0
00000000777000000.mp4,Segment1,Frame:150,Time:12.8s,TotalBoxes:5,S:1,M:2,L:0
00000000777000000.mp4,Segment1,Frame:180,Time:15.3s,TotalBoxes:5,S:1,M:2,L:0
00000000777000000.mp4,Segment1,Frame:210,Time:18.2s,TotalBoxes:5,S:1,M:2,L:0
00000000777000000.mp4,Segment1,Frame:240,Time:20.9s,TotalBoxes:6,S:1,M:3,L:0
00000000777000000.mp4,Segment1,Frame:270,Time:23.6s,TotalBoxes:6,S:1,M:3,L:0
00000000777000000.mp4,Segment1,Frame:300,Time:26.4s,TotalBoxes:6,S:1,M:3,L:0
00000000777000000.mp4,Segment1,Frame:330,Time:29.2s,TotalBoxes:6,S:1,M:3,L:0
00000000777000000.mp4,Segment1,Frame:360,Time:31.7s,TotalBoxes:7,S:1,M:4,L:0
00000000777000000.mp4,Segment1,Frame:390,Time:34.3s,TotalBoxes:7,S:1,M:4,L:0
00000000777000000.mp4,Segment1,Frame:420,Time:36.9s,TotalBoxes:7,S:1,M:4,L:0
00000000777000000.mp4,Segment1,Frame:450,Time:39.5s,TotalBoxes:8,S:1,M:5,L:0
00000000777000000.mp4,Segment1,Frame:480,Time:42.0s,TotalBoxes:9,S:1,M:6,L:0
00000000777000000.mp4,Segment1,Frame:510,Time:44.6s,TotalBoxes:9,S:1,M:6,L:0
00000000777000000.mp4,Segment1,Frame:540,Time:47.3s,TotalBoxes:10,S:1,M:7,L:0
00000000777000000.mp4,Segment1,Frame:570,Time:50.1s,TotalBoxes:11,S:1,M:8,L:0
00000000777000000.mp4,Segment1,Frame:600,Time:52.7s,TotalBoxes:12,S:1,M:9,L:0
00000000777000000.mp4,Segment1,Frame:630,Time:55.3s,TotalBoxes:12,S:1,M:9,L:0
00000000777000000.mp4,Segment1,Frame:660,Time:57.8s,TotalBoxes:13,S:1,M:10,L:0
00000000777000000.mp4,Segment1,Frame:690,Time:60.4s,TotalBoxes:13,S:1,M:10,L:0
00000000777000000.mp4,Segment1,Frame:720,Time:62.9s,TotalBoxes:13,S:1,M:10,L:0
00000000777000000.mp4,Segment1,Frame:750,Time:65.4s,TotalBoxes:13,S:1,M:10,L:0
